"","Age","Vulnerable","Lives_In_Hotspot","Political_association","News_Source","Trust_News","Covid_Knowledge","Trust_Conservatives","Trust_Ford","Mask","Bubble","Follow_Store_Restrictions","Non_essential_outing","Travel_Canada","Travel_World"
"74","35-44","No","No","Green","Other","Other",1,"Maybe","Yes","Most of the Time","No","Always","0","Yes","No"
"75","55-64","Yes","No","Liberals","Family","News_Print",3,"No","Yes","Always","Yes","Always","7+","No","No"
"76","25-34","Yes","No","Liberals","News_TV","Family",0,"Maybe","Yes","Always","Yes","Most of the Time","4-5","No","No"
"77","65-74","No","Yes","Conservative","Other","News_TV",0,"Yes","Yes","Sometimes","Yes","Most of the Time","1-3","Yes","No"
"78","35-44","No","No","Conservative","Other","Internet",4,"No","No","Sometimes","Yes","Sometimes","1-3","No","No"
"79","65-74","Yes","Yes","Green","News_TV","News_TV",4,"Maybe","No","Most of the Time","Yes","Sometimes","4-5","No","No"
"80","65-74","No","No","Liberals","Other","Other",4,"Yes","Yes","Most of the Time","No","Most of the Time","1-3","No","No"
"81","55-64","No","Yes","Liberals","Family","News_Print",4,"No","Yes","Always","No","Rarely","1-3","No","No"
"82","55-64","No","No","Conservative","News_TV","News_TV",1,"Yes","Maybe","Always","No","Sometimes","4-5","No","No"
"83","55-64","No","Yes","Liberals","News_TV","News_Print",2,"No","No","Always","Yes","Always","1-3","No","No"
"84","45-54","Yes","No","Conservative","News_TV","News_TV",1,"Maybe","Yes","Always","No","Always","7+","Yes","No"
"85","55-64","No","No","Conservative","Internet","News_Print",0,"No","Yes","Rarely","Yes","Rarely","4-5","No","No"
"86","25-34","Yes","Yes","Green","SM","SM",5,"Yes","Yes","Most of the Time","Yes","Always","1-3","Yes","No"
"87","35-44","Yes","No","Conservative","Internet","Internet",1,"No","No","Always","No","Sometimes","7+","No","No"
"88","65-74","No","No","Liberals","News_Print","SM",3,"No","No","Always","Yes","Always","0","No","No"
"89","35-44","No","No","Green","SM","News_Print",2,"Yes","No","Sometimes","Yes","Most of the Time","1-3","Yes","No"
"90","74+","Yes","No","Green","News_TV","News_TV",4,"Maybe","Yes","Most of the Time","Yes","Always","1-3","Yes","No"
"91","35-44","Yes","Yes","Liberals","News_TV","News_Print",3,"Yes","Yes","Most of the Time","Yes","Most of the Time","4-5","No","Yes"
"92","74+","No","Yes","Conservative","News_TV","News_Print",3,"No","No","Rarely","Yes","Always","1-3","Yes","No"
"93","55-64","No","No","Liberals","Internet","News_Print",5,"Yes","No","Always","No","Sometimes","4-5","No","No"
"94","18-24","Yes","Yes","Liberals","News_TV","News_Print",1,"Yes","Yes","Always","No","Always","7+","No","No"
"95","65-74","No","No","Green","Family","News_TV",3,"Yes","No","Always","No","Always","4-5","Yes","No"
"96","18-24","No","No","Conservative","SM","News_TV",3,"No","No","Most of the Time","No","Sometimes","0","No","No"
"97","55-64","No","Yes","Liberals","News_TV","Internet",1,"Maybe","No","Rarely","Yes","Sometimes","4-5","No","No"
"98","45-54","No","Yes","Liberals","News_TV","Family",0,"Yes","Yes","Always","Yes","Never","1-3","No","No"
"99","18-24","Yes","Yes","Conservative","Other","Family",5,"Maybe","Maybe","Sometimes","No","Rarely","1-3","No","No"
"100","65-74","No","No","Conservative","SM","SM",5,"Yes","Yes","Most of the Time","No","Always","4-5","No","No"
"101","35-44","No","Yes","Liberals","News_TV","News_Print",1,"Yes","No","Rarely","Yes","Most of the Time","4-5","No","No"
"102","65-74","No","Yes","NDP","News_Print","News_Print",2,"Yes","Yes","Always","Yes","Sometimes","4-5","No","No"
"103","45-54","No","Yes","Conservative","News_Print","News_TV",4,"Yes","Yes","Most of the Time","Yes","Rarely","0","Yes","No"
"104","35-44","Yes","No","Liberals","Family","Family",5,"Yes","Yes","Always","Yes","Always","1-3","Yes","No"
"105","55-64","No","No","Green","News_Print","News_Print",4,"Yes","Yes","Most of the Time","No","Most of the Time","4-5","No","No"
"106","45-54","Yes","Yes","Liberals","SM","News_Print",4,"No","Maybe","Most of the Time","Yes","Most of the Time","0","No","No"
"107","18-24","No","Yes","Liberals","News_Print","Internet",5,"No","Yes","Most of the Time","No","Never","4-5","No","No"
"108","74+","Yes","Yes","Liberals","Family","News_TV",5,"Maybe","Yes","Never","Yes","Most of the Time","1-3","No","No"
"109","65-74","No","No","Liberals","News_Print","Family",2,"Yes","Yes","Most of the Time","Yes","Sometimes","0","No","Yes"
"110","35-44","No","Yes","Conservative","Internet","News_TV",3,"Yes","No","Never","Yes","Always","7+","No","No"
"111","35-44","No","No","Conservative","Family","News_TV",4,"Yes","Yes","Always","Yes","Never","1-3","No","No"
"112","35-44","No","No","Liberals","SM","News_Print",1,"Maybe","Maybe","Always","Yes","Always","0","No","No"
"113","25-34","No","No","Liberals","Internet","Internet",3,"Yes","Yes","Always","Yes","Always","1-3","No","No"
"114","25-34","No","No","Liberals","News_Print","News_TV",4,"Yes","Maybe","Never","Yes","Most of the Time","1-3","Yes","No"
"115","55-64","No","No","NDP","SM","Internet",2,"No","No","Always","No","Most of the Time","4-5","No","No"
"116","45-54","No","No","Green","Internet","Internet",0,"Yes","Maybe","Never","Yes","Rarely","4-5","No","No"
"117","65-74","No","No","Liberals","SM","Internet",5,"No","Maybe","Always","No","Never","4-5","Yes","No"
"118","35-44","No","No","Conservative","News_Print","Internet",1,"Yes","Yes","Most of the Time","No","Most of the Time","4-5","No","No"
"119","25-34","Yes","No","NDP","SM","News_TV",3,"Yes","No","Most of the Time","Yes","Most of the Time","4-5","No","No"
"120","74+","No","No","Conservative","Internet","Family",3,"Yes","Yes","Always","No","Never","1-3","No","No"
"121","45-54","No","No","Liberals","Family","News_Print",3,"No","No","Most of the Time","No","Always","4-5","No","No"
"122","65-74","No","No","Conservative","Other","Family",5,"No","Yes","Always","No","Always","4-5","No","No"
"123","45-54","No","Yes","Conservative","Family","News_Print",1,"No","No","Rarely","Yes","Most of the Time","1-3","No","No"
"124","55-64","No","No","Conservative","Other","Internet",2,"Yes","No","Never","Yes","Most of the Time","1-3","No","No"
"125","25-34","No","Yes","Liberals","Internet","Internet",1,"Yes","No","Most of the Time","No","Always","1-3","Yes","No"
"126","45-54","No","No","NDP","Family","News_TV",1,"No","No","Sometimes","Yes","Never","4-5","No","No"
"127","45-54","Yes","No","None or Other","Family","Internet",1,"No","Yes","Always","Yes","Always","1-3","Yes","No"
"128","18-24","No","No","Conservative","News_TV","News_TV",3,"No","No","Never","Yes","Rarely","0","No","No"
"129","55-64","No","No","Conservative","Internet","SM",2,"No","Maybe","Always","No","Always","0","No","No"
"130","18-24","No","No","Green","News_Print","News_TV",2,"Yes","Yes","Always","Yes","Always","1-3","Yes","No"
"131","18-24","Yes","No","NDP","Family","News_TV",5,"Yes","No","Most of the Time","No","Never","1-3","No","No"
"132","25-34","Yes","Yes","Liberals","SM","Family",0,"Yes","No","Most of the Time","No","Always","4-5","No","No"
"133","45-54","No","Yes","NDP","Other","Family",5,"Yes","Maybe","Most of the Time","Yes","Always","7+","No","No"
"134","45-54","Yes","No","Green","Other","Internet",2,"Yes","Yes","Most of the Time","Yes","Most of the Time","4-5","No","No"
"135","65-74","Yes","Yes","Liberals","News_Print","News_TV",4,"No","Yes","Always","Yes","Most of the Time","7+","No","No"
"136","55-64","Yes","No","NDP","Internet","News_Print",2,"No","Yes","Rarely","Yes","Rarely","1-3","No","No"
"137","45-54","Yes","Yes","Conservative","Family","News_TV",1,"No","Yes","Always","Yes","Always","1-3","Yes","No"
"138","45-54","Yes","No","Liberals","Family","News_Print",1,"Yes","No","Most of the Time","No","Always","7+","No","No"
"139","35-44","Yes","No","Conservative","SM","News_TV",0,"No","Maybe","Sometimes","No","Always","4-5","Yes","No"
"140","45-54","Yes","No","NDP","Other","Family",1,"Yes","Yes","Rarely","Yes","Rarely","1-3","No","No"
"141","35-44","No","No","Liberals","News_TV","SM",1,"Yes","Yes","Always","Yes","Always","1-3","Yes","No"
"142","65-74","No","Yes","Conservative","Internet","Internet",2,"Yes","No","Most of the Time","Yes","Never","4-5","No","No"
"143","45-54","No","No","Liberals","News_Print","News_TV",1,"Yes","No","Always","Yes","Sometimes","0","No","No"
"144","25-34","No","No","Liberals","News_Print","Internet",2,"Maybe","Yes","Always","No","Always","0","No","No"
"145","65-74","Yes","Yes","Conservative","News_TV","News_Print",3,"Yes","No","Sometimes","Yes","Always","4-5","No","No"
"146","35-44","No","No","Liberals","Family","News_Print",3,"No","Yes","Always","Yes","Rarely","1-3","No","No"
"147","45-54","Yes","No","Conservative","Internet","News_Print",4,"Yes","No","Always","Yes","Always","1-3","No","No"
"148","45-54","No","No","Conservative","SM","News_TV",5,"Yes","No","Most of the Time","Yes","Always","0","Yes","No"
"149","74+","No","No","Liberals","News_Print","Internet",4,"Maybe","No","Most of the Time","Yes","Always","1-3","No","No"
"150","25-34","No","No","Green","Other","News_Print",1,"Yes","Yes","Always","Yes","Most of the Time","4-5","No","No"
"151","45-54","No","No","Conservative","News_TV","SM",1,"Yes","No","Never","No","Never","1-3","No","No"
"152","45-54","No","Yes","Conservative","Internet","Family",4,"No","Yes","Most of the Time","Yes","Always","4-5","No","No"
"153","55-64","No","No","Liberals","Internet","News_TV",2,"No","Yes","Always","Yes","Always","1-3","No","No"
"154","35-44","Yes","No","Liberals","News_Print","Internet",4,"No","No","Always","No","Rarely","4-5","No","No"
"155","35-44","No","Yes","Green","News_Print","Family",3,"Yes","Yes","Most of the Time","No","Most of the Time","1-3","Yes","No"
"156","25-34","No","No","Liberals","Internet","News_Print",2,"Maybe","Maybe","Most of the Time","Yes","Most of the Time","4-5","No","No"
"157","25-34","No","No","Liberals","News_Print","News_TV",1,"Yes","No","Most of the Time","Yes","Always","4-5","No","Yes"
"158","35-44","No","Yes","Conservative","News_TV","Family",2,"Yes","Yes","Never","Yes","Never","1-3","No","No"
"159","55-64","Yes","Yes","Liberals","News_Print","News_TV",2,"Yes","No","Sometimes","No","Rarely","1-3","No","No"
"160","55-64","No","No","Liberals","News_Print","Family",0,"Maybe","Yes","Sometimes","Yes","Always","1-3","Yes","No"
"161","45-54","No","No","Liberals","Internet","News_Print",3,"Yes","Yes","Most of the Time","No","Always","1-3","No","No"
"162","45-54","Yes","No","Conservative","Internet","SM",4,"Yes","No","Never","Yes","Always","1-3","No","No"
"163","35-44","No","Yes","Liberals","Internet","News_Print",1,"Maybe","No","Most of the Time","Yes","Never","1-3","No","No"
"164","45-54","No","Yes","Conservative","News_TV","News_Print",2,"No","Yes","Most of the Time","Yes","Always","0","No","No"
"165","25-34","Yes","No","Liberals","Internet","Family",3,"Yes","Yes","Most of the Time","No","Most of the Time","0","Yes","No"
"166","55-64","Yes","Yes","NDP","News_TV","News_Print",0,"Yes","Yes","Always","No","Always","7+","No","No"
"167","55-64","No","No","Green","News_Print","News_TV",2,"No","Yes","Always","No","Rarely","1-3","No","No"
"168","25-34","Yes","Yes","Liberals","News_Print","SM",3,"Yes","No","Always","No","Always","1-3","No","No"
"169","35-44","No","Yes","NDP","Family","News_Print",3,"No","No","Most of the Time","Yes","Sometimes","1-3","No","No"
"170","65-74","No","No","NDP","Internet","Other",1,"Yes","No","Always","Yes","Most of the Time","1-3","No","No"
"171","74+","Yes","Yes","Conservative","Internet","Internet",1,"Yes","Yes","Sometimes","No","Always","1-3","No","No"
"172","55-64","No","No","NDP","Internet","News_Print",5,"Yes","Yes","Rarely","Yes","Most of the Time","1-3","Yes","No"
"173","45-54","No","Yes","Conservative","Internet","Other",5,"Yes","No","Rarely","Yes","Always","1-3","Yes","No"
"174","65-74","No","No","Liberals","News_Print","News_Print",0,"No","Yes","Always","Yes","Always","4-5","No","No"
"175","55-64","No","Yes","Liberals","Family","News_TV",2,"No","Yes","Always","No","Always","4-5","No","No"
"176","55-64","Yes","No","NDP","News_TV","News_TV",2,"Maybe","No","Sometimes","Yes","Sometimes","4-5","No","No"
"177","25-34","Yes","No","Green","News_TV","News_TV",3,"Yes","No","Sometimes","Yes","Always","1-3","No","No"
"178","55-64","No","Yes","Conservative","Internet","Family",4,"No","Maybe","Most of the Time","Yes","Sometimes","1-3","No","No"
"179","45-54","No","No","Liberals","News_Print","Other",3,"Yes","No","Always","Yes","Always","4-5","Yes","No"
"180","55-64","No","No","Liberals","Family","SM",2,"No","Yes","Most of the Time","Yes","Sometimes","1-3","No","No"
"181","65-74","Yes","No","NDP","News_Print","Internet",0,"No","No","Always","Yes","Sometimes","1-3","Yes","No"
"182","55-64","No","No","NDP","Family","News_Print",0,"Maybe","Yes","Most of the Time","No","Rarely","4-5","Yes","No"
"183","65-74","No","No","Liberals","Family","News_Print",2,"Yes","No","Most of the Time","Yes","Most of the Time","1-3","Yes","No"
"184","45-54","No","No","NDP","Internet","Family",2,"Maybe","Yes","Most of the Time","No","Sometimes","0","No","No"
"185","35-44","No","No","Conservative","News_TV","News_TV",5,"No","Yes","Never","Yes","Always","1-3","Yes","No"
"186","45-54","No","No","Liberals","SM","Other",0,"Yes","Maybe","Never","No","Never","1-3","No","No"
"187","25-34","No","No","Liberals","News_Print","Internet",2,"Yes","Yes","Always","Yes","Rarely","4-5","No","No"
"188","45-54","No","Yes","NDP","News_Print","SM",3,"Yes","Maybe","Always","No","Most of the Time","4-5","No","No"
"189","55-64","No","No","Conservative","Family","Internet",3,"No","Yes","Rarely","Yes","Always","4-5","No","No"
"190","45-54","No","No","NDP","News_TV","News_TV",4,"Yes","No","Most of the Time","Yes","Most of the Time","0","No","No"
"191","55-64","Yes","No","NDP","News_Print","News_Print",3,"Yes","Yes","Sometimes","No","Always","1-3","No","Yes"
"192","45-54","No","No","Conservative","News_TV","News_TV",3,"Yes","Yes","Most of the Time","Yes","Most of the Time","1-3","Yes","No"
"193","18-24","No","No","Liberals","News_Print","SM",3,"Yes","Maybe","Sometimes","No","Most of the Time","4-5","No","No"
"194","18-24","No","No","NDP","News_TV","Internet",2,"Yes","Yes","Sometimes","No","Always","4-5","No","No"
"195","18-24","No","No","NDP","News_TV","Internet",2,"Yes","No","Never","Yes","Always","1-3","Yes","No"
"196","55-64","No","Yes","Conservative","SM","News_Print",4,"Yes","No","Most of the Time","Yes","Always","1-3","Yes","No"
"197","25-34","No","Yes","Liberals","Family","SM",0,"Maybe","No","Sometimes","Yes","Rarely","4-5","Yes","No"
"198","25-34","No","No","Conservative","News_Print","Internet",5,"Yes","No","Rarely","Yes","Always","1-3","No","No"
"199","55-64","No","No","Conservative","News_Print","News_TV",0,"Yes","Yes","Most of the Time","Yes","Rarely","4-5","No","No"
"200","35-44","No","No","Liberals","Internet","SM",3,"No","No","Most of the Time","Yes","Rarely","1-3","Yes","No"
"201","25-34","No","No","NDP","News_Print","News_Print",5,"Yes","Yes","Always","No","Most of the Time","4-5","No","No"
"202","45-54","No","No","NDP","SM","Other",1,"Yes","No","Always","Yes","Sometimes","4-5","No","No"
"203","55-64","No","No","Liberals","News_Print","News_Print",0,"Yes","Maybe","Always","Yes","Most of the Time","1-3","No","No"
"204","35-44","Yes","No","Liberals","News_TV","News_TV",2,"Yes","Yes","Always","Yes","Always","1-3","Yes","No"
"205","18-24","No","No","NDP","News_Print","News_Print",0,"No","Maybe","Most of the Time","Yes","Rarely","1-3","Yes","No"
"206","35-44","Yes","Yes","NDP","SM","Other",0,"Maybe","Yes","Most of the Time","Yes","Always","1-3","No","No"
"207","55-64","No","Yes","Liberals","Internet","Family",3,"Yes","Maybe","Sometimes","Yes","Most of the Time","7+","No","No"
"208","18-24","Yes","No","Liberals","Family","Family",1,"Yes","Yes","Always","Yes","Sometimes","4-5","No","No"
"209","18-24","No","Yes","Conservative","SM","Internet",0,"Yes","Yes","Always","Yes","Sometimes","4-5","Yes","No"
"210","55-64","No","Yes","NDP","News_TV","News_TV",3,"Yes","No","Always","Yes","Never","1-3","Yes","No"
"211","65-74","Yes","No","NDP","News_Print","News_TV",3,"Yes","No","Always","Yes","Always","4-5","Yes","No"
"212","25-34","No","No","Conservative","Family","News_TV",1,"Yes","Yes","Always","Yes","Most of the Time","1-3","No","No"
"213","25-34","Yes","No","Liberals","News_Print","Family",3,"Yes","Yes","Always","Yes","Rarely","1-3","No","No"
"214","35-44","No","No","Liberals","News_Print","News_Print",4,"Yes","Maybe","Always","Yes","Sometimes","1-3","No","No"
"215","55-64","Yes","No","Liberals","Other","Internet",2,"No","No","Always","Yes","Always","4-5","No","No"
"216","25-34","Yes","Yes","Liberals","News_Print","News_TV",0,"No","Yes","Sometimes","Yes","Always","7+","No","No"
"217","55-64","No","No","Conservative","Internet","Internet",2,"No","Maybe","Most of the Time","Yes","Sometimes","1-3","No","No"
"218","25-34","No","No","Conservative","News_TV","Other",0,"Yes","Yes","Most of the Time","Yes","Rarely","1-3","No","No"
"219","65-74","No","No","Liberals","Internet","Internet",4,"Maybe","Yes","Most of the Time","Yes","Always","4-5","No","No"
"220","35-44","No","Yes","Liberals","News_TV","News_Print",1,"Yes","No","Sometimes","No","Rarely","1-3","Yes","No"
"221","25-34","Yes","No","Liberals","Internet","News_TV",0,"No","No","Sometimes","Yes","Never","7+","No","No"
"222","65-74","No","No","Liberals","Internet","SM",2,"No","No","Always","No","Most of the Time","4-5","No","No"
"223","35-44","Yes","No","NDP","Internet","News_TV",4,"Yes","Yes","Sometimes","No","Never","4-5","No","No"
"224","35-44","No","No","Conservative","News_Print","Other",3,"No","Yes","Most of the Time","Yes","Sometimes","0","Yes","No"
"225","18-24","Yes","Yes","Green","Family","News_TV",1,"Yes","Yes","Always","Yes","Rarely","4-5","No","No"
"226","74+","No","Yes","Liberals","Family","News_TV",3,"No","Yes","Most of the Time","Yes","Most of the Time","0","No","No"
"227","55-64","No","Yes","Conservative","Internet","Other",1,"No","Yes","Always","Yes","Always","1-3","No","No"
"228","35-44","No","Yes","Liberals","SM","News_Print",4,"Maybe","No","Always","Yes","Always","1-3","Yes","No"
"229","35-44","Yes","Yes","Conservative","Internet","Other",1,"No","No","Always","Yes","Rarely","1-3","Yes","No"
"230","65-74","No","No","Conservative","Other","News_TV",1,"No","Yes","Sometimes","Yes","Sometimes","4-5","Yes","No"
"231","25-34","No","Yes","Green","Other","News_Print",2,"Yes","Yes","Most of the Time","No","Most of the Time","4-5","No","No"
"232","45-54","No","No","Liberals","News_TV","Family",1,"Yes","Yes","Always","Yes","Most of the Time","4-5","No","No"
"233","55-64","No","No","Liberals","News_TV","News_Print",1,"Yes","No","Always","Yes","Always","4-5","No","No"
"234","35-44","Yes","No","Liberals","SM","News_TV",5,"Maybe","Yes","Most of the Time","Yes","Sometimes","7+","No","Yes"
"235","35-44","No","No","Conservative","SM","News_TV",3,"Yes","No","Most of the Time","No","Rarely","1-3","No","No"
"236","74+","No","No","Conservative","News_Print","News_TV",3,"Yes","Yes","Rarely","Yes","Most of the Time","1-3","No","No"
"237","25-34","No","No","Green","Internet","Internet",4,"Yes","No","Always","Yes","Most of the Time","0","Yes","No"
"238","18-24","Yes","No","NDP","Family","Family",4,"Yes","Maybe","Most of the Time","Yes","Never","1-3","Yes","No"
"239","25-34","No","No","NDP","News_TV","News_Print",3,"Yes","Maybe","Always","Yes","Rarely","7+","No","No"
"240","35-44","No","No","NDP","SM","Internet",2,"Yes","No","Always","Yes","Always","4-5","No","No"
